X,e,X,e,X,e,f
e, ,e, ,e, ,e
X,e,v,e,X,e,v
e, ,e, ,e, ,e
X,e,v,e,v,e,v
u, ,e, ,e, ,e
b,e,v,e,X,e,v
 
X,e,X,e,X,e,f
e, ,e, ,e, ,e
X,e,v,e,X,e,v
u, ,e, ,e, ,e
X,e,v,e,v,e,v
u, ,e, ,e, ,e
b,e,v,e,X,e,v
 
X,e,X,e,X,e,f
u, ,e, ,e, ,e
X,e,v,e,X,e,v
u, ,e, ,e, ,e
X,e,v,e,v,e,v
u, ,e, ,e, ,e
b,e,v,e,X,e,v
 
X,r,X,e,X,e,f
u, ,e, ,e, ,e
X,e,v,e,X,e,v
u, ,e, ,e, ,e
X,e,v,e,v,e,v
u, ,e, ,e, ,e
b,e,v,e,X,e,v
 
X,r,X,r,X,e,f
u, ,e, ,e, ,e
X,e,v,e,X,e,v
u, ,e, ,e, ,e
X,e,v,e,v,e,v
u, ,e, ,e, ,e
b,e,v,e,X,e,v
 
X,r,X,r,X,r,F
u, ,e, ,e, ,e
X,e,v,e,X,e,v
u, ,e, ,e, ,e
X,e,v,e,v,e,v
u, ,e, ,e, ,e
b,e,v,e,X,e,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,e,v
u, ,e, ,e, ,e
X,e,v,e,v,e,v
u, ,e, ,e, ,e
b,e,v,e,X,e,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,e
X,e,v,e,v,e,v
u, ,e, ,e, ,e
b,e,v,e,X,e,v
 
X,r,X,r,X,e,F
u, ,e, ,d, ,u
X,e,v,e,X,r,v
u, ,e, ,e, ,e
X,e,v,e,v,e,v
u, ,e, ,e, ,e
b,e,v,e,X,e,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,d
X,e,v,e,v,e,v
u, ,e, ,e, ,e
b,e,v,e,X,e,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,d
X,e,v,e,v,e,v
u, ,e, ,e, ,d
b,e,v,e,X,e,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,d
X,e,v,e,v,e,v
u, ,e, ,e, ,d
b,e,v,e,X,l,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,d
X,e,v,e,v,e,v
u, ,e, ,u, ,d
b,e,v,e,X,l,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,d
X,e,v,l,v,e,v
u, ,e, ,u, ,d
b,e,v,e,X,l,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,u, ,e, ,d
X,e,v,l,v,e,v
u, ,e, ,u, ,d
b,e,v,e,X,l,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,d
X,e,v,l,v,e,v
u, ,d, ,u, ,d
b,e,v,e,X,l,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,d
X,e,v,e,v,e,v
u, ,e, ,e, ,d
b,e,v,l,X,l,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,d
X,e,v,e,v,e,v
u, ,u, ,e, ,d
b,e,v,l,X,l,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,u, ,e, ,d
X,e,v,e,v,e,v
u, ,u, ,e, ,d
b,e,v,l,X,l,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,d
X,e,v,r,v,e,v
u, ,u, ,e, ,d
b,e,v,l,X,l,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,d
X,e,v,e,v,l,v
u, ,e, ,e, ,e
b,e,v,e,X,e,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,d
X,e,v,e,v,l,v
u, ,e, ,d, ,e
b,e,v,e,X,e,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,d
X,e,v,e,v,l,v
u, ,e, ,d, ,e
b,e,v,e,X,r,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,d
X,e,v,e,v,l,v
u, ,e, ,d, ,e
b,e,v,l,X,e,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,d
X,e,v,e,v,l,v
u, ,u, ,d, ,e
b,e,v,l,X,e,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,u, ,e, ,d
X,e,v,e,v,l,v
u, ,u, ,d, ,e
b,e,v,l,X,e,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,d
X,e,v,l,v,l,v
u, ,e, ,e, ,e
b,e,v,e,X,e,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,u, ,e, ,d
X,e,v,l,v,l,v
u, ,e, ,e, ,e
b,e,v,e,X,e,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
X,e,v,e,X,r,v
u, ,e, ,e, ,d
X,e,v,l,v,l,v
u, ,d, ,e, ,e
b,e,v,e,X,e,v
 
X,r,X,r,X,e,f
u, ,e, ,d, ,e
